gene	locus_tag	transcript_ID	kali320	kali310	kali355	kali351	kali357	kali244	kali326	kali334	kali373	kali308	kali388	kali448	kali322	kali189	kali148	kali262	kali371	kali391	kali224	kali383	kali170	kali443	kali459	kali400
cds2966	"PF11_0131;partial=true;start_range=.,478823"	XM_001347768.1	0	0	0	0	5.039727954	0	13.77358047	0	0	12.61447737	0	1.316952735	0	0.453319998	0	0	0	0	0	0	0	0	0.240239377	0
cds2967	"PF11_0527;partial=true;start_range=.,481851"	XM_001347769.1	0	2.1332436	0	0	5.039727954	1.548796468	0	1.54727492	0	6.307238685	1.222254639	1.316952735	0.889447191	0	2.43197787	0.705520597	0	0.570102898	0	2.533561102	0.907631095	0	3.843830031	1.123050917
cds2968	"PF11_0134;partial=true;start_range=.,486329"	XM_001347770.1	0	2.1332436	0	0	0	0	0	1.54727492	0	0	1.222254639	2.63390547	1.334170786	0.906639995	2.127980636	0.705520597	1.947407301	0.570102898	0	0.69097121	0	0	2.402393769	2.526864563
cds2969	"PF11_0135;old_locus_tag=PF11_0136;partial=true;start_range=.,487822"	XM_001347771.2	0	0	2.975724932	0	5.039727954	0.774398234	0	4.641824761	0	0	1.222254639	1.316952735	0	0	0	0	0	0	0	0	0	0	0	0
cds297	"PFB0755w;partial=true;start_range=.,678486"	XM_001349633.1	12.68935011	31.998654	8.927174795	15.94538434	30.23836773	37.94551347	45.91193491	24.75639873	0	21.02412895	4.889018555	27.65600744	0	2.719919985	0.607994467	1.411041194	0	1.710308693	0.910735098	0	0	0	0.960957508	0.280762729
cds2970	"PF11_0528;partial=true;start_range=.,492090"	XM_001347773.1	8.45956674	0	5.951449863	0	0	0	0	0	0	0	0	0	0.444723595	0.453319998	1.215988935	0.705520597	0	0.570102898	0	0.69097121	0	0.649013875	0.480478754	0.561525458
cds2971	"PF11_0139;partial=true;start_range=.,511104"	XM_001347774.1	152.2722013	191.991924	124.9804471	156.7962794	156.2315666	216.0571073	137.7358047	134.6129181	175.4818235	117.7351221	151.5595752	198.859863	120.9648179	199.0074789	129.1988243	139.3403179	149.3012264	145.3762389	304.1855226	145.103954	154.2972861	151.8692469	117.2368159	149.365772
cds2972	"PF11_0140;partial=true;start_range=.,517310"	XM_001347775.1	4.22978337	10.666218	17.85434959	23.91807652	10.07945591	12.39037174	9.182386982	4.641824761	5.772428404	12.61447737	14.66705567	17.12038556	18.23366741	29.91911984	10.03190871	21.1656179	42.84296063	20.52370432	75.5910131	34.54856048	27.22893284	32.45069377	11.05101134	25.83017109
cds2973	"PF11_0141;partial=true;start_range=.,519188"	XM_001347776.1	0	0	0	2.657564057	5.039727954	0	9.182386982	0	1.154485681	2.102412895	1.222254639	5.26781094	4.447235953	1.81327999	2.43197787	0.705520597	4.54395037	1.710308693	0	1.381942419	0.907631095	0.649013875	2.642633146	1.403813646
cds2974	"PF11_0142;partial=true;start_range=.,521121"	XM_001347777.1	317.2337527	273.0551808	297.5724932	196.6597402	302.3836773	319.8264706	289.2451899	287.7931352	323.2559906	363.7174308	256.6734741	402.9875369	249.0452134	347.6964381	273.2935131	221.1807071	261.6017141	249.1349663	247.7199465	289.0562893	264.1206486	407.5807138	231.8309987	253.2479818
cds2975	"PF11_0143;partial=true;start_range=.,524491"	XM_001347778.1	42.2978337	29.8654104	29.75724932	47.83615303	50.39727954	34.84792053	41.32074142	43.32369777	5.772428404	35.74101922	35.44538452	57.94592034	21.79145617	28.55915985	15.50385892	27.86806357	23.36888762	27.36493909	21.85764234	22.11107871	29.95182613	25.31154114	20.90082579	23.86483199
cds2976	"PF11_0144;partial=true;start_range=.,527571"	XM_001347779.1	76.13610066	42.664872	65.46594849	50.49371709	65.5164634	87.50700044	55.09432189	52.6073473	62.34222676	35.74101922	66.00175049	55.31201487	58.25879099	63.91811965	56.23948823	49.73920207	67.51011978	79.81440569	116.5740925	56.19899171	70.79522539	87.61687318	68.94870118	65.41771591
