Name,TP 1,TP 2,TP 3,TP 4,TP 5,TP 6,TP 7,TP 8,TP 9,TP 10,TP 11,TP 12,TP 13,TP 14,TP 15,TP 16,TP 17,TP 18,TP 19,TP 20,TP 21,TP 22,TP 24,TP 25,TP 26,TP 27,TP 28,TP 30,TP 31,TP 32,TP 33,TP 34,TP 35,TP 36,TP 37,TP 38,TP 39,TP 40,TP 41,TP 42,TP 43,TP 44,TP 45,TP 46,TP 47,TP 48
PF14_0059,0.8,1.12512769,1.149460153,1.4825953,1.200715306,1.284809188,1.01,1.712263524,1.051569213,1.740335357,1.355,1.533321853,2.208444083,1.146,1.401611953,1.198492173,1.445676766,1.388,0.96559154,1.084,0.859263036,0.962464901,1.054625067,1.019617481,1.127058625,0.83,1.014312819,0.999555139,0.973,0.754539865,0.454907218,0.547796329,0.549208337,0.508511091,0.596066709,0.426664931,0.33753132,0.381342496,0.326411128,0.404060513,0.531728926,0.551841017,0.82095296,1.33176697,1.007069615,1.209253036
PF14_0060,0.795,0.698555535,0.456095065,0.708407283,0.36411143,0.375423021,0.304,0.375371748,0.420367399,0.445488883,0.399,0.453026939,0.536804274,0.448,0.581690006,0.552521221,0.715714117,0.821,0.833172249,1.06,1.106359189,0.949370087,1.532769841,1.43866032,1.419684023,1.647,1.738227643,1.814439025,2.022,1.975495103,1.48196578,1.365378193,1.19363853,1.036414561,1.018321498,0.775504733,0.631890076,0.614451532,0.543639421,0.706454176,0.901996764,0.727007718,0.686615217,0.657860827,0.587876889,0.540981628
PF14_0061,0.333,0.38937788,0.266614371,0.322578309,0.155873799,0.172491665,0.03,0.143280697,0.083292612,0.131026141,0.145,0.08518455,0.187952687,0.133,0.341774444,0.302543343,0.468009065,0.497,0.751746699,1.245,1.325587434,1.133632092,1.912579097,1.708958967,1.987721536,1.883,2.032786163,1.984766856,2.047,1.76259902,1.389108343,1.32671995,1.270585337,0.989010954,0.987879969,0.617107683,0.422568321,0.595324633,0.309351329,0.258077357,0.407901643,0.377991342,0.459274407,0.57877999,0.490946412,0.530752981
PF14_0063,0.457,0.419598244,0.409982484,0.330168402,0.264254779,0.267615725,0.176,0.187093813,0.106718657,0.232764073,0.149,0.194891916,0.299015631,0.252,0.361977876,0.45790342,0.552404169,0.564,0.726249853,0.878,1.055267923,1.099959839,1.436238727,1.579407519,1.656571184,1.595,2.109338081,1.982077451,2.286,1.901771512,1.618906832,1.564427293,1.947717992,1.749622846,1.624208195,1.275416876,0.660671799,0.775834706,0.50383319,0.496603417,0.604568509,0.539987625,0.535054665,0.702558659,0.6294185,0.662588833
PF14_0064,0.476,0.418435937,0.403275215,0.407334182,0.185100122,0.199126404,0.119,0.236827604,0.257686505,0.255886334,0.247,0.285239176,0.415774122,0.355,0.543808637,0.454399067,0.516234825,0.853,0.856201687,0.952,0.984668927,0.792232983,1.349631406,1.134774324,1.348371939,1.49,1.510236138,1.60556345,2.152,1.882212136,2.044737603,1.672999512,1.666861827,1.367162284,1.394422918,0.965947402,1.125104479,0.729212927,0.468576253,0.650407096,0.429753525,0.458330951,0.560314774,0.52147506,0.497240629,0.481882778
PF14_0047,1.075,0.736912152,0.730255103,0.764067817,0.54921157,0.531426499,0.771,0.68680002,0.726207463,0.632008434,0.597,0.573059707,0.696279265,0.501,0.712170427,0.53733567,0.712425974,0.977,0.977928729,1.187,1.016252685,0.798780334,1.49217268,1.237935582,1.21558399,1.454,1.451990074,1.471094171,1.528,1.485758943,1.038313965,1.085722483,0.892583782,0.823098454,0.866113445,0.625347996,0.601800071,0.898964081,0.631213163,0.857651008,1.303828483,1.118169477,1.923211495,2.103091709,1.978891798,1.766145887
PF14_0065,1.514,0.999596937,0.594432683,0.798223181,0.57600236,0.493376867,0.447,0.350504853,0.567430878,0.217349248,0.191,0.125195479,0.076889738,0.064,0.074079192,0.031539268,0.035073282,0.11,0.060041039,0.057,0.068741043,0.071085838,0.113672162,0.195126802,0.251641462,0.354,0.387752068,0.733305933,0.749,1.511336594,2.296108901,2.807250609,2.645049,2.97349703,2.949891901,2.547171439,3.952256361,3.012486097,1.912973969,1.698357528,1.143581372,1.054951442,1.056331139,0.513452368,0.718795902,0.671680979
PF14_0068,1.996,1.906208063,2.082610413,1.633131794,2.596272811,2.34639388,1.899,2.255782856,3.224985569,2.985854564,2.531,2.68331332,3.014362575,2.447,2.21648301,2.052388561,1.827098741,2.194,1.735432714,1.202,1.225262632,1.204717908,0.627903342,0.794901814,0.587709849,0.599,0.505076196,0.383685739,0.281,0.345297891,0.382684817,0.331474349,0.257772054,0.293040304,0.255316871,0.28749527,0.268193503,0.392101379,0.411710189,0.629552356,0.818231312,0.974611833,1.027626448,0.452709117,0.858526811,1.006953151
PF14_0048,0.919,0.808976089,0.66066707,0.557870751,0.878007863,0.593574221,0.65,1.031384188,0.860256484,1.213147909,1.017,1.253245445,1.272952287,1.039,1.128024088,1.24755318,0.840662701,1.372,1.258394376,0.968,1.237338772,1.200041213,1.062744456,1.077195902,1.033615249,0.745,0.886171638,0.74047759,0.726,0.73498049,0.861040838,0.903123707,1.174401714,1.506140894,1.452360225,1.337676959,1.284712293,1.632958813,1.63205557,1.768742288,1.011256174,0.994367459,0.737135434,0.645253764,0.673477828,0.697820849
PF14_0703,2.432,2.077069345,1.185511769,1.325733596,1.144698157,1.327932151,0.762,1.133220086,0.917520113,0.895602158,0.87,0.649209552,0.963969448,NA,0.64987656,0.526822577,0.686121026,NA,NA,0.52,0.397583327,0.447092506,NA,0.343071292,0.545086553,0.567,0.299550972,0.232183661,0.397,NA,0.683767711,1.053644292,1.818831907,1.76147378,2.089670485,1.250695992,1.934917983,2.390862,3.46427977,3.96239979,3.660189022,3.881325756,3.14832613,2.044640661,1.949938544,1.73091387
